listing_id,url,title,category,price,location,initial_scraped_date,description,Overdracht_Huurprijs,Overdracht_Aangeboden_sinds,Overdracht_Status,Overdracht_Aanvaarding,Bouw_Hoofdfunctie,Bouw_Soort_bouw,Bouw_Bouwjaar,Oppervlakten_Oppervlakte,Oppervlakten_Bedrijfshal_oppervlak,Oppervlakten_Vrije_hoogte,Oppervlakten_Perceel,Indeling_Voorzieningen,Energie_Energielabel,Omgeving_Ligging,Omgeving_Bereikbaarheid,Overdracht_Servicekosten,Bouw_Bouwperiode,Indeling_Aantal_bouwlagen,Oppervlakten_Kantoor_oppervlak
43958575,https://www.fundainbusiness.nl/bedrijfshal/geffen/object-43958575-leiweg-2-l/?navigateSource=resultlist,"Leiweg 2-L, Geffen",,,,,,,,,,,,,,,,,,,,,,,,
43896455,https://www.fundainbusiness.nl/kantoor/geffen/object-43896455-broekstraat-8/?navigateSource=resultlist,"Broekstraat 8, Geffen",,,,,,,,,,,,,,,,,,,,,,,,
43994187,https://www.fundainbusiness.nl/bedrijfshal/geffen/object-43994187-heesterseweg-11/?navigateSource=resultlist,"Heesterseweg 11, Geffen",,,,,,,,,,,,,,,,,,,,,,,,
43983834,https://www.fundainbusiness.nl/bedrijfshal/rosmalen/object-43983834-friezenstraat-12-k/?navigateSource=resultlist,"Friezenstraat 12-K, Rosmalen",,,,,,,,,,,,,,,,,,,,,,,,
43959759,https://www.fundainbusiness.nl/bedrijfshal/rosmalen/object-43959759-friezenstraat-12-f/?navigateSource=resultlist,"Friezenstraat 12-F, Rosmalen",,,,,,,,,,,,,,,,,,,,,,,,
43837104,https://www.fundainbusiness.nl/bedrijfshal/rosmalen/object-43837104-friezenstraat-12-x/?navigateSource=resultlist,"Friezenstraat 12-X, Rosmalen",,,,,,,,,,,,,,,,,,,,,,,,
43807692,https://www.fundainbusiness.nl/bedrijfshal/rosmalen/object-43807692-vliertwijksestraat-47/?navigateSource=resultlist,Vliertwijksestraat 47,Bedrijfshal,€ 18.000 /jr,5244 NH Rosmalen,2025-06-11 11:41:39,"TE HUUR Representatief  bedrijfsobject  aan de  Vliertwijksestraat 47  te Rosmalen  Het  bedrijfsobject  is gelegen op een uitstekende  locatie  in  Rosmalen. De omgeving bestaat  uit  een  mix van bedrijfsobjecten en woningen,  wat zorgt voor een professionele uitstraling en een veilige sfeer.   Object Dit representatieve bedrijfsobject heeft u alles wat u nodig heeft voor uw zakelijke activiteiten. Het pand bestaat uit circa 167 m² bedrijfsruimte op de begane grond en een entresol van circa 8 …",€ 18.000 per jaar,Log in om te bekijken,Beschikbaar,In overleg,Bedrijfshal,Bestaande bouw,1987,247 m²,247 m²,6 m,1.308 m²,"Lichtstraten, overheaddeuren, krachtstroom, betonvloer en toilet",Niet beschikbaar,In woonwijk,"Bushalte op 500 m tot 1000 m, NS Intercitystation op 2000 m tot 3000 m en snelwegafrit op 1000 m tot 1500 m",,,,
43895306,https://www.fundainbusiness.nl/kantoor/rosmalen/object-43895306-vliertwijksestraat-42/?navigateSource=resultlist,Vliertwijksestraat 42,Kantoor,€ 700 /mnd,5249 RJ Rosmalen,2025-06-11 11:41:44,"Locatie Bedrijventerrein Kruisstraat  te  Rosmalen is  gelegen nabij  de A59 ('s-Hertogenbosch-Nijmegen), Op  het  bedrijventerrein zijn diverse bedrijven gevestigd die actief zijn  in (groot)handel, distributie  en/of lichte assemblage. Het  bedrijventerrein heeft  een  functionele  infrastructuur en kent royale percelen.  De meeste bedrijven hebben een lokale tot regionale functie.  - Kantoorruimte gelegen op de eerste verdieping van een modern (en dus goed geïsoleerd) bedrijfsgebouw - Afslui …",€ 700 per maand,Log in om te bekijken,Beschikbaar,In overleg,Kantoor,Bestaande bouw,,81 m²,,,,"Toilet, pantry en verwarming",Niet beschikbaar,,Bushalte op 500 m tot 1000 m en snelwegafrit op 1000 m tot 1500 m,€ 100 per maand (21% BTW van toepassing),2001-2010,1 bouwlaag,
43857997,https://www.fundainbusiness.nl/bedrijfshal/rosmalen/object-43857997-friezenstraat-12-l/?navigateSource=resultlist,"Friezenstraat 12-L, Rosmalen",,,,,,,,,,,,,,,,,,,,,,,,
43711134,https://www.fundainbusiness.nl/bedrijfshal/rosmalen/object-43711134-kievitsven-34/?navigateSource=resultlist,Kievitsven 34,Bedrijfshal,€ 19.500 /jr,5249 JJ Rosmalen,2025-06-11 11:41:48,"TE HUUR Circa  80  m² bedrijfsruimte  Circa 80  m² kantoorruimte  Op  bedrijventerrein  Kruisstraat in Rosmalen bieden wij  circa  80  m² bedrijfsruimte en circa  80  m²  kantoorruimte te huur aan. Het  pand is gelegen op een gunstige locatie in de nabijheid van de A59, wat zorgt voor een uitstekende bereikbaarheid met eigen vervoer. Het terrein biedt tevens diverse voorzieningen en parkeerfaciliteiten op eigen terrein.  Kievitsven 34 ligt op een bedrijventerrein met een diversiteit aan onderne …",€ 19.500 per jaar,Log in om te bekijken,Beschikbaar,In overleg,Bedrijfshal,Bestaande bouw,2006,160 m²,80 m²,,80 m²,"Airconditioning, overheaddeuren, betonvloer, toilet, pantry en inbouwarmaturen",Niet beschikbaar,Bedrijventerrein,"Bushalte op 500 m tot 1000 m, NS Intercitystation op 3000 m tot 4000 m en snelwegafrit op 1500 m tot 2000 m",€ 90 per maand (21% BTW van toepassing),,1 bouwlaag,80 m²
